record_id,title,year,doi_url,screening_decision,exclude_code,source
REC_05446,Exploring the Factors on the Acceptance of Generative Artificial Intelligence Teaching Assistants: The Perspective of Technology Acceptance Model,2026,https://doi.org/10.1080/10447318.2025.2513581,I,,Tab1_IRR
REC_00090,Determinants of Adopting 3D Technology Integrated With Artificial Intelligence in STEM Higher Education: A UTAUT2 Model Approach,2025,https://doi.org/10.1002/cae.70019,I,,Tab1_IRR
REC_00780,The moderating role of technology proficiency and academic discipline in AI-chatbot adoption within higher education: Insights from a PLS-SEM analysis,2025,https://doi.org/10.1007/s10639-024-13023-0,I,,Tab2_AutoINC_R1
REC_00784,Unveiling the drivers of ChatGPT utilization in higher education sectors: the direct role of perceived knowledge and the mediating role of trust in ChatGPT,2025,https://doi.org/10.1007/s10639-024-13095-y,I,,Tab2_AutoINC_R1
REC_00793,Just learn it? How individual differences and HMSAM impact learners' intention to engage in AI-related education,2025,https://doi.org/10.1007/s10639-024-13199-5,I,,Tab2_AutoINC_R1
REC_00807,Exploring the adoption of AI-enabled English learning applications among university students using extended UTAUT2 model,2025,https://doi.org/10.1007/s10639-025-13349-3,I,,Tab2_AutoINC_R1
REC_00809,"Artificial intelligence teaching assistant adoption in university education: Key drivers through the ability, motivation and opportunity framework",2025,https://doi.org/10.1007/s10639-025-13360-8,I,,Tab1_IRR
REC_00818,Students' behavioural intention to use content generative AI for learning and research: A UTAUT theoretical perspective,2025,https://doi.org/10.1007/s10639-025-13441-8,I,,Tab1_IRR
REC_00821,Bridging expectations and reality: Addressing the price-value paradox in teachers' AI integration,2025,https://doi.org/10.1007/s10639-025-13466-z,I,,Tab1_IRR
REC_00824,International perspectives on artificial intelligence in higher education: An explorative study of students' intention to use ChatGPT across the Nordic countries and the USA,2025,https://doi.org/10.1007/s10639-025-13492-x,I,,Tab1_IRR
REC_00825,Modeling Chinese EFL learners' intention to use generative AI for L2 writing through an integrated model of the TAM and TTF,2025,https://doi.org/10.1007/s10639-025-13505-9,I,,Tab2_AutoINC_R1
REC_00827,College students' use behavior of generative AI and its influencing factors under the unified theory of acceptance and use of technology model,2025,https://doi.org/10.1007/s10639-025-13508-6,I,,Tab3_R1
REC_00829,Exploring factors that influence graduate students' intention to use generative artificial intelligence in academic research: PLS-SEM and fsQCA methods,2025,https://doi.org/10.1007/s10639-025-13530-8,I,,Tab3_R1
REC_00831,The role of perceived utility and ethical concerns in the adoption of AI-based data analysis tools: A multi-group structural equation model analysis among academic researchers,2025,https://doi.org/10.1007/s10639-025-13535-3,I,,Tab2_AutoINC_R1
REC_00832,Unlocking ChatGPT's potential: a comparative study of student adoption intentions in higher education across India and Poland,2025,https://doi.org/10.1007/s10639-025-13536-2,I,,Tab3_R1
REC_00834,Exploring the acceptance of generative artificial intelligence-assisted learning and design creation among students in art design specialties: based on the extended TAM model,2025,https://doi.org/10.1007/s10639-025-13551-3,I,,Tab3_R1
REC_00838,Are university teachers ready for generative artificial intelligence? Unpacking faculty anxiety in the ChatGPT era,2025,https://doi.org/10.1007/s10639-025-13585-7,I,,Tab1_IRR
REC_00840,Extending the TAM framework: Exploring learning motivation and agility in educational adoption of generative AI,2025,https://doi.org/10.1007/s10639-025-13591-9,I,,Tab1_IRR
REC_00841,Exploring user awareness and perceived usefulness of generative AI in higher education: The moderating role of trust,2025,https://doi.org/10.1007/s10639-025-13612-7,I,,Tab2_AutoINC_R1
REC_00918,Is Anxiety Affecting the Adoption of ChatGPT in University Teaching? A Gender Perspective,2025,https://doi.org/10.1007/s10758-025-09830-0,I,,Tab3_R1
REC_00922,Generative AI in Action: Acceptance and Use Among Higher Education Staff Pre- and Post-training,2025,https://doi.org/10.1007/s10758-025-09915-w,I,,Tab2_AutoINC_R1
REC_00933,Instrumental and integrative motivations predict intention to use generative AI chatbots for English learning among undergraduates with non English majors in Chinese private universities,2025,https://doi.org/10.1007/s10791-025-09753-5,I,,Tab2_AutoINC_R1
REC_01111,Students’ acceptance and use of generative AI in pharmacy education: international cross-sectional survey based on the extended unified theory of acceptance and use of technology,2025,https://doi.org/10.1007/s11096-025-01936-w,I,,Tab2_AutoINC_R1
REC_01255,Understanding pre-service teachers' acceptance of generative artificial intelligence: an extended technology acceptance model approach,2025,https://doi.org/10.1007/s11423-025-10495-w,I,,Tab2_Blue
REC_01286,What Factors Affect the Adoption Intention and Actual Use of ChatGPT in Higher Education? The Moderating Role of Academic Integrity,2025,https://doi.org/10.1007/s11528-025-01096-8,I,,Tab2_AutoINC_R1
REC_01467,Exploring the usage behavior of generative artificial intelligence: a case study of ChatGPT with insights into the moderating effects of habit and personal innovativeness,2025,https://doi.org/10.1007/s12144-024-07193-w,I,,Tab2_AutoINC_R1
REC_01673,Factors influencing Chinese college students' intention to use AIGC: a study based on the UTAUT model,2025,https://doi.org/10.1007/s13198-025-02772-x,I,,Tab2_AutoINC_R1
REC_01916,Impact of perceived ease of use and perceived usefulness of humanoid robots on students' intention to use,2025,https://doi.org/10.1016/j.actpsy.2025.105217,I,,Tab3_R1
