phase_block,pair,study_id,title,year,doi,pdf,coder,field_family,field_key,construct_1,construct_2,value,value_source,source_location,flag,notes
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,R1,metadata,ai_tool_name,,,AI tools (general),,,,
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,R1,metadata,ai_type,,,general,,,,
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,R1,metadata,common_method_bias,,,none,,,,
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,R1,metadata,country,,,TW,,,,
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,R1,metadata,data_collection,,,online_survey,,,,
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,R1,metadata,doi,,,10.1007/s10639-024-13199-5,,,,
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,R1,metadata,education_level,,,undergraduate,,,,
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,R1,metadata,first_author,,,Wang,,,,
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,R1,metadata,notes,,,"7-point Likert. PLS-SEM. CON mapped to FC (moderate, PBC-like). CUR/JOY not in 12.",,,,
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,R1,metadata,sample_size,,,230,,,,
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,R1,metadata,sample_type,,,students,,,,
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,R1,metadata,source_type,,,journal,,,,
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,R1,metadata,study_design,,,cross_sectional,,,,
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,R1,metadata,temporal_period,,,post_chatgpt,,,,
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,R1,metadata,theoretical_framework,,,HMSAM,,,,
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,R1,metadata,title,,,Just learn it? How individual differences and HMSAM impact learners' intention to engage in AI-related education,,,,
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,R1,metadata,user_role,,,student,,,,
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,R1,metadata,year,,,2025,,,,
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,R1,metadata,ai_tool_name,,,GenAI tools (general),,,,
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,R1,metadata,ai_type,,,general,,,,
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,R1,metadata,common_method_bias,,,procedural,,,,
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,R1,metadata,country,,,IL,,,,
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,R1,metadata,data_collection,,,online_survey,,,,
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,R1,metadata,doi,,,10.1007/s10639-025-13466-z,,,,
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,R1,metadata,education_level,,,k12,,,,
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,R1,metadata,first_author,,,Elyakim,,,,
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,R1,metadata,notes,,,K-12 teachers/educators. CB-SEM (AMOS). No correlation matrix/Fornell-Larcker. HM/PV/Habit not in 12.,,,,
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,R1,metadata,sample_size,,,490,,,,
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,R1,metadata,sample_type,,,instructors,,,,
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,R1,metadata,source_type,,,journal,,,,
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,R1,metadata,study_design,,,cross_sectional,,,,
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,R1,metadata,temporal_period,,,post_chatgpt,,,,
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,R1,metadata,theoretical_framework,,,UTAUT2,,,,
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,R1,metadata,title,,,Bridging expectations and reality: Addressing the price-value paradox in teachers' AI integration,,,,
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,R1,metadata,user_role,,,instructor,,,,
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,R1,metadata,year,,,2025,,,,
phase1,Pair A,S011,Modeling Chinese EFL learners' intention to use generative AI for L2 writing thr,2025,10.1007/s10639-025-13505-9,S011.pdf,R1,metadata,ai_tool_name,,,ChatGPT; Ernie Bot; New Bing; Spark Desk,,,,
