phase_block,pair,study_id,title,year,doi,pdf,field_family,field_key,construct_1,construct_2,coder_a,coder_a_value,coder_a_source,coder_a_notes,coder_b,coder_b_value,coder_b_source,coder_b_notes,abs_difference,mismatch_type
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,metadata,ai_tool_name,,,R1,AI tools (general),,,R2,NA,,,,metadata_diff
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,metadata,common_method_bias,,,R1,none,,,R2,not_addressed,,,,metadata_diff
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,metadata,country,,,R1,TW,,,R2,NA,,,,metadata_diff
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,metadata,data_collection,,,R1,online_survey,,,R2,survey,,,,metadata_diff
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,metadata,education_level,,,R1,undergraduate,,,R2,mixed,,,,metadata_diff
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,metadata,first_author,,,R1,Wang,,,R2,,,,,metadata_diff
phase1,Pair A,S005,Just learn it? How individual differences and HMSAM impact learners' intention t,2025,10.1007/s10639-024-13199-5,S005.pdf,metadata,notes,,,R1,"7-point Likert. PLS-SEM. CON mapped to FC (moderate, PBC-like). CUR/JOY not in 12.",,,R2,,,,,metadata_diff
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,metadata,ai_tool_name,,,R1,GenAI tools (general),,,R2,NA,,,,metadata_diff
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,metadata,common_method_bias,,,R1,procedural,,,R2,partial,,,,metadata_diff
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,metadata,country,,,R1,IL,,,R2,NA,,,,metadata_diff
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,metadata,data_collection,,,R1,online_survey,,,R2,survey,,,,metadata_diff
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,metadata,education_level,,,R1,k12,,,R2,NA,,,,metadata_diff
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,metadata,first_author,,,R1,Elyakim,,,R2,,,,,metadata_diff
phase1,Pair A,S009,Bridging expectations and reality: Addressing the price-value paradox in teacher,2025,10.1007/s10639-025-13466-z,S009.pdf,metadata,notes,,,R1,K-12 teachers/educators. CB-SEM (AMOS). No correlation matrix/Fornell-Larcker. HM/PV/Habit not in 12.,,,R2,,,,,metadata_diff
phase1,Pair A,S011,Modeling Chinese EFL learners' intention to use generative AI for L2 writing thr,2025,10.1007/s10639-025-13505-9,S011.pdf,metadata,ai_tool_name,,,R1,ChatGPT; Ernie Bot; New Bing; Spark Desk,,,R2,ChatGPT,,,,metadata_diff
phase1,Pair A,S011,Modeling Chinese EFL learners' intention to use generative AI for L2 writing thr,2025,10.1007/s10639-025-13505-9,S011.pdf,metadata,common_method_bias,,,R1,not_addressed,,,R2,addressed,,,,metadata_diff
phase1,Pair A,S011,Modeling Chinese EFL learners' intention to use generative AI for L2 writing thr,2025,10.1007/s10639-025-13505-9,S011.pdf,metadata,data_collection,,,R1,online_survey,,,R2,survey,,,,metadata_diff
phase1,Pair A,S011,Modeling Chinese EFL learners' intention to use generative AI for L2 writing thr,2025,10.1007/s10639-025-13505-9,S011.pdf,metadata,first_author,,,R1,Hu,,,R2,,,,,metadata_diff
phase1,Pair A,S011,Modeling Chinese EFL learners' intention to use generative AI for L2 writing thr,2025,10.1007/s10639-025-13505-9,S011.pdf,metadata,flag,,,R1,Y,,,R2,,,,,metadata_diff
phase1,Pair A,S011,Modeling Chinese EFL learners' intention to use generative AI for L2 writing thr,2025,10.1007/s10639-025-13505-9,S011.pdf,metadata,notes,,,R1,No Pearson/Fornell-Larcker matrix; structural paths beta-converted. TTF mapped to FC.,,,R2,,,,,metadata_diff
phase1,Pair A,S011,Modeling Chinese EFL learners' intention to use generative AI for L2 writing thr,2025,10.1007/s10639-025-13505-9,S011.pdf,metadata,theoretical_framework,,,R1,TAM + TTF,,,R2,TAM+TTF,,,,metadata_diff
phase1,Pair A,S015,Unlocking ChatGPT's potential: a comparative study of student adoption intention,2025,10.1007/s10639-025-13536-2,S015.pdf,metadata,ai_type,,,R1,chatbot_llm,,,R2,generative,,,,metadata_diff
phase1,Pair A,S015,Unlocking ChatGPT's potential: a comparative study of student adoption intention,2025,10.1007/s10639-025-13536-2,S015.pdf,metadata,common_method_bias,,,R1,none,,,R2,not_addressed,,,,metadata_diff
phase1,Pair A,S015,Unlocking ChatGPT's potential: a comparative study of student adoption intention,2025,10.1007/s10639-025-13536-2,S015.pdf,metadata,country,,,R1,PL,,,R2,"India, Poland",,,,metadata_diff
phase1,Pair A,S015,Unlocking ChatGPT's potential: a comparative study of student adoption intention,2025,10.1007/s10639-025-13536-2,S015.pdf,metadata,data_collection,,,R1,online_survey,,,R2,survey,,,,metadata_diff
phase1,Pair A,S015,Unlocking ChatGPT's potential: a comparative study of student adoption intention,2025,10.1007/s10639-025-13536-2,S015.pdf,metadata,first_author,,,R1,Chopra,,,R2,,,,,metadata_diff
phase1,Pair A,S015,Unlocking ChatGPT's potential: a comparative study of student adoption intention,2025,10.1007/s10639-025-13536-2,S015.pdf,metadata,notes,,,R1,Poland sample (n=528) from two-country study. India sample coded as S015-2 (n=546).,,,R2,,,,,metadata_diff
phase1,Pair A,S015,Unlocking ChatGPT's potential: a comparative study of student adoption intention,2025,10.1007/s10639-025-13536-2,S015.pdf,metadata,sample_size,,,R1,528,,,R2,1074,,,,metadata_diff
phase1,Pair A,S018,Extending the TAM framework: Exploring learning motivation and agility in educat,2025,10.1007/s10639-025-13591-9,S018.pdf,metadata,ai_tool_name,,,R1,GenAI tools (general),,,R2,NA,,,,metadata_diff
phase1,Pair A,S018,Extending the TAM framework: Exploring learning motivation and agility in educat,2025,10.1007/s10639-025-13591-9,S018.pdf,metadata,common_method_bias,,,R1,none,,,R2,not_addressed,,,,metadata_diff
phase1,Pair A,S018,Extending the TAM framework: Exploring learning motivation and agility in educat,2025,10.1007/s10639-025-13591-9,S018.pdf,metadata,country,,,R1,TR,,,R2,Turkey,,,,metadata_diff
phase1,Pair A,S018,Extending the TAM framework: Exploring learning motivation and agility in educat,2025,10.1007/s10639-025-13591-9,S018.pdf,metadata,data_collection,,,R1,online_survey,,,R2,survey,,,,metadata_diff
phase1,Pair A,S018,Extending the TAM framework: Exploring learning motivation and agility in educat,2025,10.1007/s10639-025-13591-9,S018.pdf,metadata,first_author,,,R1,Simsek,,,R2,,,,,metadata_diff
phase1,Pair A,S018,Extending the TAM framework: Exploring learning motivation and agility in educat,2025,10.1007/s10639-025-13591-9,S018.pdf,metadata,notes,,,R1,Pre-service teachers. CB-SEM (lavaan R). MSR not mapped to SE. LM/LA not in 12.,,,R2,,,,,metadata_diff
