study_id,A_fast_confirm_existing_human_value,B_check_possible_false_positive_existing_value,C_open_table_for_possible_full10_densification,total_shortlist_rows
S185,69,0,24,93
S194,75,0,0,75
S121-1,42,0,24,66
S121-2,42,0,24,66
S208,50,0,0,50
S036,12,0,24,36
S028,31,19,0,50
S072,8,0,19,27
S004,0,0,24,24
S030,0,0,24,24
S055,0,0,24,24
S088,0,0,24,24
S173,0,0,24,24
S190,0,0,24,24
S218,22,9,0,31
S086,5,1,15,21
S164,5,2,15,22
S191,5,5,15,25
S145,19,2,0,21
S025,2,0,15,17
S051,4,1,13,18
S057,0,0,17,17
S070,17,1,0,18
S138,0,0,17,17
S176,0,0,17,17
S048,1,0,15,16
S016,0,0,15,15
S157,0,0,15,15
S198,15,3,0,18
S214,0,0,15,15
S223,0,0,15,15
S059,14,2,0,16
S110,13,2,0,15
S077,12,0,0,12
S219,12,0,0,12
S035,4,11,7,22
S129,9,1,0,10
S128,8,4,0,12
S074,7,2,0,9
S078,6,0,0,6
S216,6,0,0,6
S127,5,0,0,5
S179b,5,0,0,5
S224,5,0,0,5
S046,4,1,0,5
S052,4,6,0,10
S066,4,0,0,4
S081,4,0,0,4
S186,4,0,0,4
S007,3,0,0,3
S080,3,0,0,3
S093,3,3,0,6
S112,3,0,0,3
S130,3,0,0,3
S152,3,0,0,3
S170,3,0,0,3
S189,3,0,0,3
S222,3,3,0,6
S012,2,5,0,7
S014,2,0,0,2
S044,2,3,0,5
S058,2,0,0,2
S113,2,0,0,2
S162,2,4,0,6
S166,2,0,0,2
S200,2,0,0,2
S212,2,6,0,8
S225,2,2,0,4
S010,1,1,0,2
S011,1,0,0,1
S033,1,0,0,1
S053,1,0,0,1
S061,1,0,0,1
S108,1,0,0,1
S115,1,1,0,2
S120,1,0,0,1
S134,1,1,0,2
S160,1,0,0,1
S168,1,2,0,3
S217,1,3,0,4
S015,0,2,0,2
S063,0,1,0,1
S089,0,1,0,1
S111,0,2,0,2
S148,0,2,0,2
S151,0,3,0,3
S192,0,1,0,1
