route,construct_1,construct_2,pooled_r
paper_a_core7_att_mediation,PE,PE,1
paper_a_core7_att_mediation,EE,PE,0.5395566261036465
paper_a_core7_att_mediation,SI,PE,0.45799583687115336
paper_a_core7_att_mediation,FC,PE,0.4700741821366415
paper_a_core7_att_mediation,ATT,PE,0.598718774606118
paper_a_core7_att_mediation,BI,PE,0.6129674916930147
paper_a_core7_att_mediation,UB,PE,0.5245884860559515
paper_a_core7_att_mediation,PE,EE,0.5395566261036465
paper_a_core7_att_mediation,EE,EE,1
paper_a_core7_att_mediation,SI,EE,0.4079294335318371
paper_a_core7_att_mediation,FC,EE,0.5672702629794286
paper_a_core7_att_mediation,ATT,EE,0.5011311432320176
paper_a_core7_att_mediation,BI,EE,0.5393880129065131
paper_a_core7_att_mediation,UB,EE,0.49241153996498166
paper_a_core7_att_mediation,PE,SI,0.45799583687115336
paper_a_core7_att_mediation,EE,SI,0.4079294335318371
paper_a_core7_att_mediation,SI,SI,1
paper_a_core7_att_mediation,FC,SI,0.4180310904287376
paper_a_core7_att_mediation,ATT,SI,0.5163897478983992
paper_a_core7_att_mediation,BI,SI,0.5487825966676931
paper_a_core7_att_mediation,UB,SI,0.45274578561625267
paper_a_core7_att_mediation,PE,FC,0.4700741821366415
paper_a_core7_att_mediation,EE,FC,0.5672702629794286
paper_a_core7_att_mediation,SI,FC,0.4180310904287376
paper_a_core7_att_mediation,FC,FC,1
paper_a_core7_att_mediation,ATT,FC,0.47700291295894426
paper_a_core7_att_mediation,BI,FC,0.5087924536217474
paper_a_core7_att_mediation,UB,FC,0.4791928794107841
paper_a_core7_att_mediation,PE,ATT,0.598718774606118
paper_a_core7_att_mediation,EE,ATT,0.5011311432320176
paper_a_core7_att_mediation,SI,ATT,0.5163897478983992
paper_a_core7_att_mediation,FC,ATT,0.47700291295894426
paper_a_core7_att_mediation,ATT,ATT,1
paper_a_core7_att_mediation,BI,ATT,0.6795930379955496
paper_a_core7_att_mediation,UB,ATT,0.6404650156271104
paper_a_core7_att_mediation,PE,BI,0.6129674916930147
paper_a_core7_att_mediation,EE,BI,0.5393880129065131
paper_a_core7_att_mediation,SI,BI,0.5487825966676931
paper_a_core7_att_mediation,FC,BI,0.5087924536217474
paper_a_core7_att_mediation,ATT,BI,0.6795930379955496
paper_a_core7_att_mediation,BI,BI,1
paper_a_core7_att_mediation,UB,BI,0.6458635537092196
paper_a_core7_att_mediation,PE,UB,0.5245884860559515
paper_a_core7_att_mediation,EE,UB,0.49241153996498166
paper_a_core7_att_mediation,SI,UB,0.45274578561625267
paper_a_core7_att_mediation,FC,UB,0.4791928794107841
paper_a_core7_att_mediation,ATT,UB,0.6404650156271104
paper_a_core7_att_mediation,BI,UB,0.6458635537092196
paper_a_core7_att_mediation,UB,UB,1
