"model_family","route","parameter","from","to","estimate","std_error","ci_low","ci_high","z_value","p_value","ci_text","inference_class","inference_symbol","plot_style","figure_label","manuscript_label"
"Core7 ATT mediation","paper_a_core7_att_mediation","PE_to_ATT","PE","ATT",0.156899763879046,NA,-0.170272003779031,0.653868621338993,NA,NA,"[-0.170, 0.654]","not_supported_95ci_includes_zero","ns","dashed_gray","b=0.16
ns","b = 0.157, 95% CI [-0.170, 0.654], ns"
"Core7 ATT mediation","paper_a_core7_att_mediation","EE_to_ATT","EE","ATT",0.126660032361982,NA,NA,NA,NA,NA,"[NA, NA]","ci_incomplete","CI?","dotted_light_gray","b=0.13
CI?","b = 0.127, 95% CI [NA, NA], CI?"
"Core7 ATT mediation","paper_a_core7_att_mediation","SI_to_ATT","SI","ATT",0.107446688834282,NA,-0.0118253490736426,0.21500750491499,NA,NA,"[-0.012, 0.215]","not_supported_95ci_includes_zero","ns","dashed_gray","b=0.11
ns","b = 0.107, 95% CI [-0.012, 0.215], ns"
"Core7 ATT mediation","paper_a_core7_att_mediation","FC_to_ATT","FC","ATT",0.33576322347565,NA,0.0992795963685401,0.400383142834508,NA,NA,"[0.099, 0.400]","supported_positive_95ci","CI+","solid_black","b=0.34
CI+","b = 0.336, 95% CI [0.099, 0.400], CI+"
"Core7 ATT mediation","paper_a_core7_att_mediation","PE_to_BI","PE","BI",0.186951315317732,NA,NA,0.582053382624049,NA,NA,"[NA, 0.582]","ci_incomplete","CI?","dotted_light_gray","b=0.19
CI?","b = 0.187, 95% CI [NA, 0.582], CI?"
"Core7 ATT mediation","paper_a_core7_att_mediation","EE_to_BI","EE","BI",0.1217756510213,NA,NA,0.346694189364208,NA,NA,"[NA, 0.347]","ci_incomplete","CI?","dotted_light_gray","b=0.12
CI?","b = 0.122, 95% CI [NA, 0.347], CI?"
"Core7 ATT mediation","paper_a_core7_att_mediation","SI_to_BI","SI","BI",0.189645876623912,NA,0.189645876623912,0.530418411828354,NA,NA,"[0.190, 0.530]","supported_positive_95ci","CI+","solid_black","b=0.19
CI+","b = 0.190, 95% CI [0.190, 0.530], CI+"
"Core7 ATT mediation","paper_a_core7_att_mediation","ATT_to_BI","ATT","BI",0.511841812831585,NA,0.30036826314632,0.738428279283956,NA,NA,"[0.300, 0.738]","supported_positive_95ci","CI+","solid_black","b=0.51
CI+","b = 0.512, 95% CI [0.300, 0.738], CI+"
"Core7 ATT mediation","paper_a_core7_att_mediation","FC_to_UB","FC","UB",0.332411358866946,NA,0.113744494149235,0.544155871892305,NA,NA,"[0.114, 0.544]","supported_positive_95ci","CI+","solid_black","b=0.33
CI+","b = 0.332, 95% CI [0.114, 0.544], CI+"
"Core7 ATT mediation","paper_a_core7_att_mediation","BI_to_UB","BI","UB",0.575324230359965,NA,0.397367262794066,0.752665900941577,NA,NA,"[0.397, 0.753]","supported_positive_95ci","CI+","solid_black","b=0.58
CI+","b = 0.575, 95% CI [0.397, 0.753], CI+"
"Trust6 trust mechanism","paper_a_trust6_mechanism","PE_to_TRU","PE","TRU",0.260646277765996,NA,NA,0.437589258674031,NA,NA,"[NA, 0.438]","ci_incomplete","CI?","dotted_light_gray","b=0.26
CI?","b = 0.261, 95% CI [NA, 0.438], CI?"
"Trust6 trust mechanism","paper_a_trust6_mechanism","EE_to_TRU","EE","TRU",0.140089538401588,NA,-0.0235575456906595,0.284616197791881,NA,NA,"[-0.024, 0.285]","not_supported_95ci_includes_zero","ns","dashed_gray","b=0.14
ns","b = 0.140, 95% CI [-0.024, 0.285], ns"
"Trust6 trust mechanism","paper_a_trust6_mechanism","SI_to_TRU","SI","TRU",0.106795078184662,NA,-0.04912172022145,0.256855053767003,NA,NA,"[-0.049, 0.257]","not_supported_95ci_includes_zero","ns","dashed_gray","b=0.11
ns","b = 0.107, 95% CI [-0.049, 0.257], ns"
"Trust6 trust mechanism","paper_a_trust6_mechanism","PE_to_BI","PE","BI",0.365409268927441,NA,NA,0.511664836095427,NA,NA,"[NA, 0.512]","ci_incomplete","CI?","dotted_light_gray","b=0.37
CI?","b = 0.365, 95% CI [NA, 0.512], CI?"
"Trust6 trust mechanism","paper_a_trust6_mechanism","EE_to_BI","EE","BI",0.224823331654616,NA,0.0449480013268912,0.375493969937491,NA,NA,"[0.045, 0.375]","supported_positive_95ci","CI+","solid_black","b=0.22
CI+","b = 0.225, 95% CI [0.045, 0.375], CI+"
"Trust6 trust mechanism","paper_a_trust6_mechanism","SI_to_BI","SI","BI",0.183839611146121,NA,-0.0167375530386245,0.372067435225703,NA,NA,"[-0.017, 0.372]","not_supported_95ci_includes_zero","ns","dashed_gray","b=0.18
ns","b = 0.184, 95% CI [-0.017, 0.372], ns"
"Trust6 trust mechanism","paper_a_trust6_mechanism","TRU_to_BI","TRU","BI",0.243077102668113,NA,0.126273438566481,0.352389729869456,NA,NA,"[0.126, 0.352]","supported_positive_95ci","CI+","solid_black","b=0.24
CI+","b = 0.243, 95% CI [0.126, 0.352], CI+"
"Trust6 trust mechanism","paper_a_trust6_mechanism","BI_to_UB","BI","UB",0.714360911711239,NA,0.649554006134315,0.780941478305756,NA,NA,"[0.650, 0.781]","supported_positive_95ci","CI+","solid_black","b=0.71
CI+","b = 0.714, 95% CI [0.650, 0.781], CI+"
