route,parameter,estimate
paper_a_trust6_complete_case,PE_to_TRU,0.20840375902825647
paper_a_trust6_complete_case,PE_to_BI,0.329460071936433
paper_a_trust6_complete_case,EE_to_TRU,0.2741571535411677
paper_a_trust6_complete_case,EE_to_BI,0.14977177410600706
paper_a_trust6_complete_case,SI_to_TRU,0.24453570109189487
paper_a_trust6_complete_case,SI_to_BI,0.157461311819773
paper_a_trust6_complete_case,TRU_to_BI,0.36223759563055213
paper_a_trust6_complete_case,BI_to_UB,0.7922603936401732
paper_a_trust6_complete_case,Cov_PE_EE,0.5894120521286854
paper_a_trust6_complete_case,Cov_PE_SI,0.5653832999188778
paper_a_trust6_complete_case,Cov_EE_SI,0.44689611501273346
paper_a_trust6_complete_case,Var_e_TRU,0.636708232747096
paper_a_trust6_complete_case,Var_e_BI,0.34354691869194987
paper_a_trust6_complete_case,Var_e_UB,0.3723234686691188
