study_id,construct_1,construct_2,pair,r_value,sample_size,source_file,row_decision
S135,PE,SE,PE-SE,0.52,302.0,,
S032,SE,UB,SE-UB,0.554,804.0,,
S098,ANX,PE,ANX-PE,0.621,482.0,,
S098,ANX,SE,ANX-SE,0.811,482.0,,
S098,ANX,SI,ANX-SI,0.523,482.0,,
S137,PE,SE,PE-SE,0.351,760.0,,
S096,ANX,UB,ANX-UB,-0.19,264.0,,
S094,PE,TRU,PE-TRU,0.579,517.0,,
S085,BI,EE,BI-EE,0.64,156.0,,
S085,BI,PE,BI-PE,0.87,156.0,,
S085,BI,SI,BI-SI,0.61,156.0,,
S181,ANX,ATT,ANX-ATT,0.01,347.0,,
S181,ANX,BI,ANX-BI,0.048,347.0,,
S181,ANX,SI,ANX-SI,0.044,347.0,,
S181,ATT,BI,ATT-BI,0.824,347.0,,
S181,ATT,SI,ATT-SI,0.782,347.0,,
S181,BI,SI,BI-SI,0.724,347.0,,
S221,PE,SE,PE-SE,0.592,400.0,,
S183,BI,EE,BI-EE,0.283,430.0,,
S183,BI,FC,BI-FC,0.025,430.0,,
S183,BI,PE,BI-PE,0.049,430.0,,
S183,BI,SI,BI-SI,0.132,430.0,,
S183,BI,TRU,BI-TRU,0.021,430.0,,
S183,EE,TRU,EE-TRU,0.356,430.0,,
S183,FC,UB,FC-UB,0.345,430.0,,
S183,PE,TRU,PE-TRU,0.148,430.0,,
S183,SI,TRU,SI-TRU,0.309,430.0,,
S004,PE,SE,PE-SE,0.601,485.0,,
S065,BI,FC,BI-FC,0.73,517.0,,
S065,BI,TRU,BI-TRU,0.761,517.0,,
S065,EE,FC,EE-FC,0.84,517.0,,
S065,EE,TRU,EE-TRU,0.592,517.0,,
S197,ATT,EE,ATT-EE,0.24,237.0,,
S197,ATT,PE,ATT-PE,0.48,237.0,,
S197,ATT,UB,ATT-UB,0.34,237.0,,
S197,EE,UB,EE-UB,0.69,237.0,,
S121,BI,EE,BI-EE,0.67,3094.0,,
S121,BI,FC,BI-FC,0.59,3094.0,,
S121,BI,PE,BI-PE,0.84,3094.0,,
S121,BI,SI,BI-SI,0.66,3094.0,,
S121,BI,TRU,BI-TRU,0.34,3094.0,,
S121,BI,UB,BI-UB,0.58,3094.0,,
S121,EE,FC,EE-FC,0.72,3094.0,,
S121,EE,PE,EE-PE,0.62,3094.0,,
S121,EE,SI,EE-SI,0.53,3094.0,,
S121,EE,TRU,EE-TRU,0.22,3094.0,,
S121,EE,UB,EE-UB,0.39,3094.0,,
S121,FC,PE,FC-PE,0.53,3094.0,,
S121,FC,SI,FC-SI,0.49,3094.0,,
S121,FC,UB,FC-UB,0.16,3094.0,,
S121,PE,SE,PE-SE,0.29,3094.0,,
S121,PE,SI,PE-SI,0.64,3094.0,,
S121,PE,TRU,PE-TRU,0.36,3094.0,,
S121,PE,UB,PE-UB,0.47,3094.0,,
S121,SI,TRU,SI-TRU,0.23,3094.0,,
S121,SI,UB,SI-UB,0.32,3094.0,,
S121,TRU,UB,TRU-UB,0.36,3094.0,,
