route,construct_1,construct_2,pooled_r
paper_a_core7_att_mediation,PE,PE,1
paper_a_core7_att_mediation,EE,PE,0.5396212776261181
paper_a_core7_att_mediation,SI,PE,0.4586950160964003
paper_a_core7_att_mediation,FC,PE,0.47004861510857937
paper_a_core7_att_mediation,ATT,PE,0.5955798323417599
paper_a_core7_att_mediation,BI,PE,0.6121260206645366
paper_a_core7_att_mediation,UB,PE,0.5220291695928341
paper_a_core7_att_mediation,PE,EE,0.5396212776261181
paper_a_core7_att_mediation,EE,EE,1
paper_a_core7_att_mediation,SI,EE,0.4107391570076774
paper_a_core7_att_mediation,FC,EE,0.5643360217671388
paper_a_core7_att_mediation,ATT,EE,0.5023668465297387
paper_a_core7_att_mediation,BI,EE,0.5408909834705796
paper_a_core7_att_mediation,UB,EE,0.4953874261862278
paper_a_core7_att_mediation,PE,SI,0.4586950160964003
paper_a_core7_att_mediation,EE,SI,0.4107391570076774
paper_a_core7_att_mediation,SI,SI,1
paper_a_core7_att_mediation,FC,SI,0.42124183590987285
paper_a_core7_att_mediation,ATT,SI,0.511321561959343
paper_a_core7_att_mediation,BI,SI,0.5466923165600497
paper_a_core7_att_mediation,UB,SI,0.44602722391366817
paper_a_core7_att_mediation,PE,FC,0.47004861510857937
paper_a_core7_att_mediation,EE,FC,0.5643360217671388
paper_a_core7_att_mediation,SI,FC,0.42124183590987285
paper_a_core7_att_mediation,FC,FC,1
paper_a_core7_att_mediation,ATT,FC,0.4855959811637535
paper_a_core7_att_mediation,BI,FC,0.5109868103201815
paper_a_core7_att_mediation,UB,FC,0.4815016961404126
paper_a_core7_att_mediation,PE,ATT,0.5955798323417599
paper_a_core7_att_mediation,EE,ATT,0.5023668465297387
paper_a_core7_att_mediation,SI,ATT,0.511321561959343
paper_a_core7_att_mediation,FC,ATT,0.4855959811637535
paper_a_core7_att_mediation,ATT,ATT,1
paper_a_core7_att_mediation,BI,ATT,0.6736656815446668
paper_a_core7_att_mediation,UB,ATT,0.62858232195402
paper_a_core7_att_mediation,PE,BI,0.6121260206645366
paper_a_core7_att_mediation,EE,BI,0.5408909834705796
paper_a_core7_att_mediation,SI,BI,0.5466923165600497
paper_a_core7_att_mediation,FC,BI,0.5109868103201815
paper_a_core7_att_mediation,ATT,BI,0.6736656815446668
paper_a_core7_att_mediation,BI,BI,1
paper_a_core7_att_mediation,UB,BI,0.6379887429753964
paper_a_core7_att_mediation,PE,UB,0.5220291695928341
paper_a_core7_att_mediation,EE,UB,0.4953874261862278
paper_a_core7_att_mediation,SI,UB,0.44602722391366817
paper_a_core7_att_mediation,FC,UB,0.4815016961404126
paper_a_core7_att_mediation,ATT,UB,0.62858232195402
paper_a_core7_att_mediation,BI,UB,0.6379887429753964
paper_a_core7_att_mediation,UB,UB,1
