route,pair,k,total_n,fixed_z,q,c_val,tau2,pooled_z,se_z,pooled_r,ci_low,ci_high,i2
paper_a_core7_att_mediation,ATT-BI,30,13749,0.7931078396260417,1358.4739960828958,13084.744271176514,0.10160488952095938,0.817424573073772,0.05894844779912778,0.6736656815446668,0.605563288027754,0.7319726015029248,97.86525173955333
paper_a_core7_att_mediation,ATT-EE,26,12138,0.5442827662800247,737.2601656978883,11470.008623548922,0.06209761379216023,0.5524669376248986,0.04988729955103142,0.5023668465297387,0.4257447733911919,0.5718355784979877,96.60906676324564
paper_a_core7_att_mediation,ATT-FC,10,5385,0.5136269589916883,226.62130236360858,4627.731092436975,0.047025485711402616,0.5302811596401275,0.070259593040476645,0.4855959811637535,0.37357571415515006,0.5836561280952174,96.0286169454804
paper_a_core7_att_mediation,ATT-PE,27,12585,0.63769991375518,1296.2703134631017,11919.044785668586,0.106574841885859,0.6862690619670321,0.06358989820678539,0.5955798323417599,0.509187943909504,0.6700893439817533,97.99424551114353
paper_a_core7_att_mediation,ATT-SI,12,6835,0.4852804764202035,756.4203728383169,6064.560082365054,0.12291417064296249,0.5645175356931795,0.10212719817576688,0.511321561959343,0.3490383066935033,0.6438293176934123,98.54578216095308
paper_a_core7_att_mediation,ATT-UB,13,6672,0.6449886570909503,748.7495514479943,5922.281320669381,0.12440299802656477,0.739068964018804,0.09887838577671647,0.62858232195402,0.4969647748166593,0.7319294586778956,98.39732792135989
paper_a_core7_att_mediation,BI-EE,54,31513,0.63052712581945,1637.9197890687974,30210.655034927117,0.05246227820073551,0.6054141990813249,0.03191738839935322,0.5408909834705796,0.49514689608973667,0.5836444696545532,96.7641883104586
paper_a_core7_att_mediation,BI-FC,36,25019,0.5957887472642052,1069.4919996704973,23585.70615390791,0.043860972104033974,0.564064385628365,0.03574104662662324,0.5109868103201815,0.45739484543649067,0.5608804642006854,96.72741824989966
paper_a_core7_att_mediation,BI-PE,57,32449,0.7670568897615831,4743.627750015763,31161.034140900923,0.1504323549988651,0.7123143026316103,0.05181736649639907,0.6121260206645366,0.5446564202612146,0.6717230922088029,98.81946891806984
paper_a_core7_att_mediation,BI-SI,39,26320,0.6067484827685331,1636.8964361726894,24911.548524978054,0.06418294047716562,0.6136514162916974,0.04127505059907104,0.5466923165600497,0.4874821639365652,0.6008973781574573,97.67853364695144
paper_a_core7_att_mediation,BI-UB,31,22341,0.6898057197167005,1664.2531772472798,20839.69048903272,0.078420223088598,0.7547745419368405,0.0510081056746578,0.6379887429753964,0.5748915268105165,0.693543064064487,98.19738965139783
paper_a_core7_att_mediation,EE-FC,34,23749,0.7093600394118578,1848.2897635401757,22290.904977375565,0.08143634210376954,0.6391727458096412,0.049581590680247034,0.5643360217671388,0.4944949809783923,0.6269364684255954,98.21456566762602
paper_a_core7_att_mediation,EE-PE,58,33721,0.6131009953428577,2241.5210452336187,32444.492622291113,0.06733102812440762,0.603621140642942,0.03469615401051681,0.5396212776261181,0.48966279113182326,0.5860481849913788,97.45708387966265
paper_a_core7_att_mediation,EE-SI,33,23718,0.45030497198535396,1448.8502777406575,22251.38634150472,0.06367469675801085,0.436500063925477,0.044637159996776456,0.4107391570076774,0.33549836101618385,0.4807727825871289,97.79135218513392
paper_a_core7_att_mediation,EE-UB,30,21740,0.4718191039339736,1008.0991405912142,20227.8384295612,0.04840354761586128,0.5431748229637242,0.04107138363422814,0.4953874261862278,0.4322618272467747,0.5536814089938324,97.1232988073978
paper_a_core7_att_mediation,FC-PE,34,23595,0.5234936249607051,1162.0326828586371,22133.744775039373,0.05100956455104099,0.510132737504652,0.03954690835631563,0.47004861510857937,0.40750921805912277,0.5281995210818543,97.16014872156444
paper_a_core7_att_mediation,FC-SI,28,21278,0.44981519159491445,1232.6421942777652,19733.536566952913,0.061096103589298505,0.4492007945127159,0.04748001129306932,0.42124183590987285,0.3418094967823037,0.4946980169556324,97.80958333851132
paper_a_core7_att_mediation,FC-UB,22,18274,0.4250486130611778,1379.571080969544,16612.14367311072,0.0817818041851274,0.5249373777369847,0.061694158490640534,0.4815016961404126,0.38338065943881755,0.5688749482682218,98.47778774941837
paper_a_core7_att_mediation,PE-SI,35,24422,0.5605392061709165,2463.374732862054,22977.247686803472,0.10572957936373369,0.49565731468275726,0.055518563702396044,0.4586950160964003,0.36863363042948394,0.5402253009072582,98.61977962400802
paper_a_core7_att_mediation,PE-UB,29,21237,0.5077466088325041,1125.2036910472555,19706.19877068558,0.05567809925267914,0.5791249985827327,0.044677526055760974,0.5220291695928341,0.45545136733620667,0.5828003014204158,97.51156166454274
paper_a_core7_att_mediation,SI-UB,22,18638,0.3889850929020393,888.5402182250101,16987.480615981047,0.05106938679352298,0.47972984234479676,0.049055655129143116,0.44602722391366817,0.365813106323353,0.519663698910085,97.63657293510579
