route,construct_1,construct_2,pooled_r
paper_a_trust6_mechanism,PE,PE,1
paper_a_trust6_mechanism,EE,PE,0.5396212776261181
paper_a_trust6_mechanism,SI,PE,0.4586950160964003
paper_a_trust6_mechanism,TRU,PE,0.4578574039480476
paper_a_trust6_mechanism,BI,PE,0.6121260206645366
paper_a_trust6_mechanism,UB,PE,0.5220291695928341
paper_a_trust6_mechanism,PE,EE,0.5396212776261181
paper_a_trust6_mechanism,EE,EE,1
paper_a_trust6_mechanism,SI,EE,0.4107391570076774
paper_a_trust6_mechanism,TRU,EE,0.45863706973898966
paper_a_trust6_mechanism,BI,EE,0.5408909834705796
paper_a_trust6_mechanism,UB,EE,0.4953874261862278
paper_a_trust6_mechanism,PE,SI,0.4586950160964003
paper_a_trust6_mechanism,EE,SI,0.4107391570076774
paper_a_trust6_mechanism,SI,SI,1
paper_a_trust6_mechanism,TRU,SI,0.38532757887805674
paper_a_trust6_mechanism,BI,SI,0.5466923165600497
paper_a_trust6_mechanism,UB,SI,0.44602722391366817
paper_a_trust6_mechanism,PE,TRU,0.4578574039480476
paper_a_trust6_mechanism,EE,TRU,0.45863706973898966
paper_a_trust6_mechanism,SI,TRU,0.38532757887805674
paper_a_trust6_mechanism,TRU,TRU,1
paper_a_trust6_mechanism,BI,TRU,0.557855000073909
paper_a_trust6_mechanism,UB,TRU,0.4880311106928884
paper_a_trust6_mechanism,PE,BI,0.6121260206645366
paper_a_trust6_mechanism,EE,BI,0.5408909834705796
paper_a_trust6_mechanism,SI,BI,0.5466923165600497
paper_a_trust6_mechanism,TRU,BI,0.557855000073909
paper_a_trust6_mechanism,BI,BI,1
paper_a_trust6_mechanism,UB,BI,0.6379887429753964
paper_a_trust6_mechanism,PE,UB,0.5220291695928341
paper_a_trust6_mechanism,EE,UB,0.4953874261862278
paper_a_trust6_mechanism,SI,UB,0.44602722391366817
paper_a_trust6_mechanism,TRU,UB,0.4880311106928884
paper_a_trust6_mechanism,BI,UB,0.6379887429753964
paper_a_trust6_mechanism,UB,UB,1
