route,construct_1,construct_2,pooled_r
paper_a_core7_att_mediation,PE,PE,1
paper_a_core7_att_mediation,EE,PE,0.5577445405282954
paper_a_core7_att_mediation,SI,PE,0.46845521158933767
paper_a_core7_att_mediation,FC,PE,0.48751085330038946
paper_a_core7_att_mediation,ATT,PE,0.611415992665751
paper_a_core7_att_mediation,BI,PE,0.5598422328763955
paper_a_core7_att_mediation,UB,PE,0.4806895250450831
paper_a_core7_att_mediation,PE,EE,0.5577445405282954
paper_a_core7_att_mediation,EE,EE,1
paper_a_core7_att_mediation,SI,EE,0.43175167841014095
paper_a_core7_att_mediation,FC,EE,0.5561515027239955
paper_a_core7_att_mediation,ATT,EE,0.5381253783723756
paper_a_core7_att_mediation,BI,EE,0.5059231687487517
paper_a_core7_att_mediation,UB,EE,0.4657176388780175
paper_a_core7_att_mediation,PE,SI,0.46845521158933767
paper_a_core7_att_mediation,EE,SI,0.43175167841014095
paper_a_core7_att_mediation,SI,SI,1
paper_a_core7_att_mediation,FC,SI,0.46890244647053886
paper_a_core7_att_mediation,ATT,SI,0.5134030949380058
paper_a_core7_att_mediation,BI,SI,0.46977442348365894
paper_a_core7_att_mediation,UB,SI,0.4654118582696596
paper_a_core7_att_mediation,PE,FC,0.48751085330038946
paper_a_core7_att_mediation,EE,FC,0.5561515027239955
paper_a_core7_att_mediation,SI,FC,0.46890244647053886
paper_a_core7_att_mediation,FC,FC,1
paper_a_core7_att_mediation,ATT,FC,0.5170527139317999
paper_a_core7_att_mediation,BI,FC,0.46375440005324586
paper_a_core7_att_mediation,UB,FC,0.4701984307840053
paper_a_core7_att_mediation,PE,ATT,0.611415992665751
paper_a_core7_att_mediation,EE,ATT,0.5381253783723756
paper_a_core7_att_mediation,SI,ATT,0.5134030949380058
paper_a_core7_att_mediation,FC,ATT,0.5170527139317999
paper_a_core7_att_mediation,ATT,ATT,1
paper_a_core7_att_mediation,BI,ATT,0.6664710099333834
paper_a_core7_att_mediation,UB,ATT,0.5943461274075015
paper_a_core7_att_mediation,PE,BI,0.5598422328763955
paper_a_core7_att_mediation,EE,BI,0.5059231687487517
paper_a_core7_att_mediation,SI,BI,0.46977442348365894
paper_a_core7_att_mediation,FC,BI,0.46375440005324586
paper_a_core7_att_mediation,ATT,BI,0.6664710099333834
paper_a_core7_att_mediation,BI,BI,1
paper_a_core7_att_mediation,UB,BI,0.6196273637921866
paper_a_core7_att_mediation,PE,UB,0.4806895250450831
paper_a_core7_att_mediation,EE,UB,0.4657176388780175
paper_a_core7_att_mediation,SI,UB,0.4654118582696596
paper_a_core7_att_mediation,FC,UB,0.4701984307840053
paper_a_core7_att_mediation,ATT,UB,0.5943461274075015
paper_a_core7_att_mediation,BI,UB,0.6196273637921866
paper_a_core7_att_mediation,UB,UB,1
