route,construct_1,construct_2,pooled_r
paper_a_full10_theory_target,PE,PE,1
paper_a_full10_theory_target,EE,PE,0.5577445405282954
paper_a_full10_theory_target,SI,PE,0.46845521158933767
paper_a_full10_theory_target,FC,PE,0.48751085330038946
paper_a_full10_theory_target,ATT,PE,0.611415992665751
paper_a_full10_theory_target,SE,PE,0.4725383589524792
paper_a_full10_theory_target,TRU,PE,0.502981805533278
paper_a_full10_theory_target,ANX,PE,0.0995348825748985
paper_a_full10_theory_target,BI,PE,0.5598422328763955
paper_a_full10_theory_target,UB,PE,0.4806895250450831
paper_a_full10_theory_target,PE,EE,0.5577445405282954
paper_a_full10_theory_target,EE,EE,1
paper_a_full10_theory_target,SI,EE,0.43175167841014095
paper_a_full10_theory_target,FC,EE,0.5561515027239955
paper_a_full10_theory_target,ATT,EE,0.5381253783723756
paper_a_full10_theory_target,SE,EE,0.42593966099294306
paper_a_full10_theory_target,TRU,EE,0.49730061814756954
paper_a_full10_theory_target,ANX,EE,-0.003140725106756248
paper_a_full10_theory_target,BI,EE,0.5059231687487517
paper_a_full10_theory_target,UB,EE,0.4657176388780175
paper_a_full10_theory_target,PE,SI,0.46845521158933767
paper_a_full10_theory_target,EE,SI,0.43175167841014095
paper_a_full10_theory_target,SI,SI,1
paper_a_full10_theory_target,FC,SI,0.46890244647053886
paper_a_full10_theory_target,ATT,SI,0.5134030949380058
paper_a_full10_theory_target,SE,SI,0.42704280790646626
paper_a_full10_theory_target,TRU,SI,0.4882748658388056
paper_a_full10_theory_target,ANX,SI,0.00404488898715783
paper_a_full10_theory_target,BI,SI,0.46977442348365894
paper_a_full10_theory_target,UB,SI,0.4654118582696596
paper_a_full10_theory_target,PE,FC,0.48751085330038946
paper_a_full10_theory_target,EE,FC,0.5561515027239955
paper_a_full10_theory_target,SI,FC,0.46890244647053886
paper_a_full10_theory_target,FC,FC,1
paper_a_full10_theory_target,ATT,FC,0.5170527139317999
paper_a_full10_theory_target,SE,FC,0.393643890782874
paper_a_full10_theory_target,TRU,FC,0.5021853286254389
paper_a_full10_theory_target,ANX,FC,0.0926226149232372
paper_a_full10_theory_target,BI,FC,0.46375440005324586
paper_a_full10_theory_target,UB,FC,0.4701984307840053
paper_a_full10_theory_target,PE,ATT,0.611415992665751
paper_a_full10_theory_target,EE,ATT,0.5381253783723756
paper_a_full10_theory_target,SI,ATT,0.5134030949380058
paper_a_full10_theory_target,FC,ATT,0.5170527139317999
paper_a_full10_theory_target,ATT,ATT,1
paper_a_full10_theory_target,SE,ATT,0.5569228257216643
paper_a_full10_theory_target,TRU,ATT,0.5976947702585709
paper_a_full10_theory_target,ANX,ATT,0.4206752441601207
paper_a_full10_theory_target,BI,ATT,0.6664710099333834
paper_a_full10_theory_target,UB,ATT,0.5943461274075015
paper_a_full10_theory_target,PE,SE,0.4725383589524792
paper_a_full10_theory_target,EE,SE,0.42593966099294306
paper_a_full10_theory_target,SI,SE,0.42704280790646626
paper_a_full10_theory_target,FC,SE,0.393643890782874
paper_a_full10_theory_target,ATT,SE,0.5569228257216643
paper_a_full10_theory_target,SE,SE,1
paper_a_full10_theory_target,TRU,SE,0.5233050586981427
paper_a_full10_theory_target,ANX,SE,0.07914531198628551
paper_a_full10_theory_target,BI,SE,0.461230260480443
paper_a_full10_theory_target,UB,SE,0.371512140420473
paper_a_full10_theory_target,PE,TRU,0.502981805533278
paper_a_full10_theory_target,EE,TRU,0.49730061814756954
paper_a_full10_theory_target,SI,TRU,0.4882748658388056
paper_a_full10_theory_target,FC,TRU,0.5021853286254389
paper_a_full10_theory_target,ATT,TRU,0.5976947702585709
paper_a_full10_theory_target,SE,TRU,0.5233050586981427
paper_a_full10_theory_target,TRU,TRU,1
paper_a_full10_theory_target,ANX,TRU,-0.0272088765224865
paper_a_full10_theory_target,BI,TRU,0.5507428638332685
paper_a_full10_theory_target,UB,TRU,0.5177380904785682
paper_a_full10_theory_target,PE,ANX,0.0995348825748985
paper_a_full10_theory_target,EE,ANX,-0.003140725106756248
paper_a_full10_theory_target,SI,ANX,0.00404488898715783
paper_a_full10_theory_target,FC,ANX,0.0926226149232372
paper_a_full10_theory_target,ATT,ANX,0.4206752441601207
paper_a_full10_theory_target,SE,ANX,0.07914531198628551
paper_a_full10_theory_target,TRU,ANX,-0.0272088765224865
paper_a_full10_theory_target,ANX,ANX,1
paper_a_full10_theory_target,BI,ANX,0.05788409346365995
paper_a_full10_theory_target,UB,ANX,-0.07676129816031209
paper_a_full10_theory_target,PE,BI,0.5598422328763955
paper_a_full10_theory_target,EE,BI,0.5059231687487517
paper_a_full10_theory_target,SI,BI,0.46977442348365894
paper_a_full10_theory_target,FC,BI,0.46375440005324586
paper_a_full10_theory_target,ATT,BI,0.6664710099333834
paper_a_full10_theory_target,SE,BI,0.461230260480443
paper_a_full10_theory_target,TRU,BI,0.5507428638332685
paper_a_full10_theory_target,ANX,BI,0.05788409346365995
paper_a_full10_theory_target,BI,BI,1
