route,pair,k,total_n,fixed_z,q,c_val,tau2,pooled_z,se_z,pooled_r,ci_low,ci_high,i2
paper_a_trust6_mechanism,BI-EE,143,71206,0.5369880370928839,5682.882666733487,69222.38727976603,0.08004466307034037,0.5572351781740481,0.02410978552467626,0.5059231687487517,0.4699296146232201,0.5402370974603612,97.50126813577833
paper_a_trust6_mechanism,BI-PE,152,74554,0.6063441359410553,6031.992674809365,72591.78537207482,0.08101457547387601,0.6326033690343897,0.023527155519486635,0.5598422328763955,0.5273665886561677,0.5906844135027058,97.49668131013152
paper_a_trust6_mechanism,BI-SI,103,56139,0.45838354186206476,4044.9926500029787,54005.302355364496,0.07301121330748943,0.5097808412596085,0.02712858844293157,0.46977442348365894,0.4273162699239253,0.5101650567951144,97.47836377403739
paper_a_trust6_mechanism,BI-TRU,34,14544,0.5906356287855794,1065.8552889628384,13842.17546046254,0.07461654361433194,0.6194469759652921,0.047830516048453245,0.5507428638332685,0.4820866526337634,0.6126762926093898,96.90389489626574
paper_a_trust6_mechanism,BI-UB,73,41678,0.7241213863029187,3722.3041211413138,39178.770459972504,0.09317046140768236,0.7243999927960264,0.03629886360505616,0.6196273637921866,0.5738566101411469,0.6615392368048947,98.0657142012909
paper_a_trust6_mechanism,EE-PE,140,71801,0.6400800155373852,5691.720864986059,69821.1329345344,0.07952779669433886,0.6295532844873286,0.0242694150949229,0.5577445405282954,0.5241068393772176,0.5896447765883198,97.5578563443775
paper_a_trust6_mechanism,EE-SI,84,48047,0.40916473112270946,3078.224583681462,45754.79359765666,0.06546253076824857,0.46204770723558886,0.028479401282387868,0.43175167841014095,0.38526530061342107,0.4760523384910696,97.30364053227285
paper_a_trust6_mechanism,EE-TRU,30,12419,0.5080239222519941,714.1012632217501,11734.419012085327,0.058383909975957174,0.5457134184711555,0.045328042723364895,0.49730061814756954,0.4275301163327105,0.5611816599618612,95.93895130934749
paper_a_trust6_mechanism,EE-UB,60,36997,0.4785414337133697,1953.1814713536644,34308.980090718964,0.05520949519178699,0.5045878960208496,0.031103258228395086,0.4657176388780175,0.4166451079235574,0.5120838942902688,96.9792873388713
paper_a_trust6_mechanism,PE-SI,92,52031,0.45375551288771465,3959.544819319167,49822.23240266641,0.0776469586519798,0.5080893942862104,0.029545098020457034,0.46845521158933767,0.42204777789047965,0.5124139738816971,97.70175603124888
paper_a_trust6_mechanism,PE-TRU,31,13134,0.5234255533196593,625.1804067019868,12447.947243309562,0.04781353865569123,0.5532898251172922,0.04053960979770159,0.502981805533278,0.44129044689747127,0.5599411546120627,95.20138512365432
paper_a_trust6_mechanism,PE-UB,63,38214,0.45296192054967566,2669.3974217953382,35579.9686522025,0.07328273521775386,0.5238806158093988,0.03476448900063299,0.4806895250450831,0.42660765588759486,0.5313461502108046,97.67737844152478
paper_a_trust6_mechanism,SI-TRU,19,8465,0.5122787538719129,549.5920393965763,7847.978353948621,0.06773617553737414,0.5337926432279966,0.060910386666872963,0.4882748658388056,0.39220928359046014,0.573804817920384,96.72484339115191
paper_a_trust6_mechanism,SI-UB,44,30755,0.40270500203738735,1605.76843452877,27723.145544198804,0.05637053097157608,0.504197495990622,0.0366091977989077,0.4654118582696596,0.40736132644340495,0.5197166892682239,97.32215436078
paper_a_trust6_mechanism,TRU-UB,13,6675,0.5536831080131868,538.5530248133371,5858.994575045208,0.08987088451251453,0.5732445299651614,0.08454430315796989,0.5177380904785682,0.3863799673118059,0.628511182388369,97.77180714857943
