pair,rows,studies,median_n
ANX-ATT,6,6,357.5
ANX-BI,3,3,382.0
ANX-EE,3,3,382.0
ANX-FC,2,2,375.0
ANX-PE,4,4,407.0
ANX-SE,2,2,432.0
ANX-SI,3,3,347.0
ANX-UB,2,2,316.0
ATT-BI,30,30,403.5
ATT-EE,26,26,428.5
ATT-FC,10,10,375.0
ATT-PE,27,27,432.0
ATT-SE,5,5,498.0
ATT-SI,12,12,493.0
ATT-TRU,2,2,757.0
ATT-UB,13,13,374.0
AUT-BI,1,1,620.0
AUT-EE,1,1,620.0
AUT-FC,1,1,620.0
AUT-PE,1,1,620.0
AUT-SE,1,1,620.0
AUT-SI,1,1,620.0
AUT-UB,2,2,568.5
BI-EE,54,54,427.5
BI-FC,36,36,477.0
BI-PE,57,57,425.0
BI-SE,9,9,460.0
BI-SI,39,39,485.0
BI-TRU,12,12,521.5
BI-UB,31,31,500.0
EE-FC,34,34,477.0
EE-PE,58,58,446.0
EE-SE,7,7,460.0
EE-SI,33,33,486.0
EE-TRU,10,10,521.5
EE-UB,30,30,500.0
FC-PE,34,34,464.5
FC-SE,6,6,421.0
FC-SI,28,28,485.5
FC-TRU,4,4,1490.5
FC-UB,22,22,493.0
PE-SE,15,15,460.0
PE-SI,35,35,485.0
PE-TRU,12,12,501.0
PE-UB,29,29,500.0
SE-SI,6,6,551.0
SE-TRU,1,1,353.0
SE-UB,5,5,620.0
SI-TRU,9,9,526.0
SI-UB,22,22,505.0
TRU-UB,8,8,948.0
