route,construct_1,construct_2,nearpd_r
paper_a_full10_theory_target,PE,PE,1
paper_a_full10_theory_target,EE,PE,0.5395211748764839
paper_a_full10_theory_target,SI,PE,0.45801085697293653
paper_a_full10_theory_target,FC,PE,0.4702812908009475
paper_a_full10_theory_target,ATT,PE,0.598906679645338
paper_a_full10_theory_target,SE,PE,0.48466933947955343
paper_a_full10_theory_target,TRU,PE,0.45910885675154217
paper_a_full10_theory_target,ANX,PE,0.36772799906564196
paper_a_full10_theory_target,BI,PE,0.6128909407995514
paper_a_full10_theory_target,UB,PE,0.5245643359084922
paper_a_full10_theory_target,PE,EE,0.5395211748764839
paper_a_full10_theory_target,EE,EE,1
paper_a_full10_theory_target,SI,EE,0.40791391612171923
paper_a_full10_theory_target,FC,EE,0.5670562943471055
paper_a_full10_theory_target,ATT,EE,0.500937014414399
paper_a_full10_theory_target,SE,EE,0.422081554364618
paper_a_full10_theory_target,TRU,EE,0.45304916014690605
paper_a_full10_theory_target,ANX,EE,0.2563711765905289
paper_a_full10_theory_target,BI,EE,0.5394670969868768
paper_a_full10_theory_target,UB,EE,0.49243648934854856
paper_a_full10_theory_target,PE,SI,0.45801085697293653
paper_a_full10_theory_target,EE,SI,0.40791391612171923
paper_a_full10_theory_target,SI,SI,1
paper_a_full10_theory_target,FC,SI,0.4181217434231668
paper_a_full10_theory_target,ATT,SI,0.5164719952624472
paper_a_full10_theory_target,SE,SI,0.3655014080154841
paper_a_full10_theory_target,TRU,SI,0.3901264212429484
paper_a_full10_theory_target,ANX,SI,0.2749623449859721
paper_a_full10_theory_target,BI,SI,0.5487490893313053
paper_a_full10_theory_target,UB,SI,0.45273521482422385
paper_a_full10_theory_target,PE,FC,0.4702812908009475
paper_a_full10_theory_target,EE,FC,0.5670562943471055
paper_a_full10_theory_target,SI,FC,0.4181217434231668
paper_a_full10_theory_target,FC,FC,1
paper_a_full10_theory_target,ATT,FC,0.47813702875850944
paper_a_full10_theory_target,SE,FC,0.34575306599269456
paper_a_full10_theory_target,TRU,FC,0.410967320396997
paper_a_full10_theory_target,ANX,FC,0.5046018695793579
paper_a_full10_theory_target,BI,FC,0.5083304283256711
paper_a_full10_theory_target,UB,FC,0.47904711898641444
paper_a_full10_theory_target,PE,ATT,0.598906679645338
paper_a_full10_theory_target,EE,ATT,0.500937014414399
paper_a_full10_theory_target,SI,ATT,0.5164719952624472
paper_a_full10_theory_target,FC,ATT,0.47813702875850944
paper_a_full10_theory_target,ATT,ATT,1
paper_a_full10_theory_target,SE,ATT,0.5294626284767386
