construct_1,construct_2,pooled_r,probe
PE,PE,1,core7_add_att
EE,PE,0.48967557307026893,core7_add_att
SI,PE,0.6076714636912118,core7_add_att
FC,PE,0.4707155519709405,core7_add_att
ATT,PE,0.39355939316195665,core7_add_att
BI,PE,0.3865020495525086,core7_add_att
UB,PE,0.5054659235244444,core7_add_att
PE,EE,0.48967557307026893,core7_add_att
EE,EE,1,core7_add_att
SI,EE,0.33416051231816557,core7_add_att
FC,EE,0.4965709903865164,core7_add_att
ATT,EE,0.4528373568291136,core7_add_att
BI,EE,0.45027743451624225,core7_add_att
UB,EE,0.48022672454093274,core7_add_att
PE,SI,0.6076714636912118,core7_add_att
EE,SI,0.33416051231816557,core7_add_att
SI,SI,1,core7_add_att
FC,SI,0.4268614470411011,core7_add_att
ATT,SI,0.3551972470653863,core7_add_att
BI,SI,0.3573616679533896,core7_add_att
UB,SI,0.44377710432486434,core7_add_att
PE,FC,0.4707155519709405,core7_add_att
EE,FC,0.4965709903865164,core7_add_att
SI,FC,0.4268614470411011,core7_add_att
FC,FC,1,core7_add_att
ATT,FC,0.5050932543522886,core7_add_att
BI,FC,0.5561874340102306,core7_add_att
UB,FC,0.6707615699463023,core7_add_att
PE,ATT,0.39355939316195665,core7_add_att
EE,ATT,0.4528373568291136,core7_add_att
SI,ATT,0.3551972470653863,core7_add_att
FC,ATT,0.5050932543522886,core7_add_att
ATT,ATT,1,core7_add_att
BI,ATT,0.6277390975763767,core7_add_att
UB,ATT,0.550244734626104,core7_add_att
PE,BI,0.3865020495525086,core7_add_att
EE,BI,0.45027743451624225,core7_add_att
SI,BI,0.3573616679533896,core7_add_att
FC,BI,0.5561874340102306,core7_add_att
ATT,BI,0.6277390975763767,core7_add_att
BI,BI,1,core7_add_att
UB,BI,0.6631942461115097,core7_add_att
PE,UB,0.5054659235244444,core7_add_att
EE,UB,0.48022672454093274,core7_add_att
SI,UB,0.44377710432486434,core7_add_att
FC,UB,0.6707615699463023,core7_add_att
ATT,UB,0.550244734626104,core7_add_att
BI,UB,0.6631942461115097,core7_add_att
UB,UB,1,core7_add_att
