construct_1,construct_2,baseline_pooled_r,substitution_pooled_r,delta_pooled_r
EE,PE,0.5407830719167616,0.5407830719167616,0
FC,PE,0.49708904614644356,0.49708904614644356,0
BI,PE,0.6054697703990232,0.6054697703990232,0
BI,EE,0.5417613096115441,0.5417613096115441,0
PE,SI,0.4706201412527163,0.4706201412527163,0
EE,SI,0.4058520061575446,0.4058520061575446,0
FC,SI,0.4287917554715621,0.4287917554715621,0
BI,SI,0.49506215621732075,0.49506215621732075,0
EE,FC,0.5858989442092252,0.5858989442092252,0
BI,FC,0.5398466688337711,0.5398466688337711,0
PE,UB,0.4807103005280596,0.4807103005280596,0
EE,UB,0.46315947444158784,0.46315947444158784,0
SI,UB,0.4087176208874309,0.4087176208874309,0
FC,UB,0.47153104403648655,0.47153104403648655,0
BI,UB,0.6639704293488534,0.6639704293488534,0
