construct_pair,rows,studies,rows_with_numeric_n,rows_missing_numeric_n,rows_with_reconciled_numeric_n,rows_missing_after_reconciliation,rows_with_reconciled_or_pdf_n_candidate,rows_missing_after_pdf_source_check,n_status,primary_gate
ANX-ATT,6,6,0,6,5,1,6,0,missing_n,pdf_n_override_candidate_pending_confirmation
ANX-BI,3,3,0,3,3,0,3,0,missing_n,n_reconciled_ready
ANX-EE,3,3,0,3,2,1,3,0,missing_n,pdf_n_override_candidate_pending_confirmation
ANX-FC,2,2,0,2,2,0,2,0,missing_n,n_reconciled_ready
ANX-PE,4,4,0,4,3,1,4,0,missing_n,pdf_n_override_candidate_pending_confirmation
ANX-SE,2,2,0,2,2,0,2,0,missing_n,n_reconciled_ready
ANX-SI,3,3,0,3,2,1,3,0,missing_n,pdf_n_override_candidate_pending_confirmation
ANX-TRU,0,0,0,0,0,0,0,0,no_rows,not_estimable_without_imputation_or_model_reduction
ANX-UB,2,2,0,2,2,0,2,0,missing_n,n_reconciled_ready
ATT-BI,30,30,0,30,26,4,30,0,missing_n,pdf_n_override_candidate_pending_confirmation
ATT-EE,26,26,0,26,22,4,26,0,missing_n,pdf_n_override_candidate_pending_confirmation
ATT-FC,10,10,0,10,10,0,10,0,missing_n,n_reconciled_ready
ATT-PE,27,27,0,27,24,3,27,0,missing_n,pdf_n_override_candidate_pending_confirmation
ATT-SE,5,5,0,5,4,1,5,0,missing_n,pdf_n_override_candidate_pending_confirmation
ATT-SI,12,12,0,12,11,1,12,0,missing_n,pdf_n_override_candidate_pending_confirmation
ATT-TRU,2,2,0,2,2,0,2,0,missing_n,n_reconciled_ready
ATT-UB,13,13,0,13,12,1,13,0,missing_n,pdf_n_override_candidate_pending_confirmation
BI-EE,54,54,2,52,48,6,54,0,missing_n,pdf_n_override_candidate_pending_confirmation
BI-FC,36,36,2,34,35,1,36,0,missing_n,pdf_n_override_candidate_pending_confirmation
BI-PE,57,57,2,55,52,5,57,0,missing_n,pdf_n_override_candidate_pending_confirmation
BI-SE,9,9,1,8,8,1,9,0,missing_n,pdf_n_override_candidate_pending_confirmation
BI-SI,39,39,2,37,36,3,39,0,missing_n,pdf_n_override_candidate_pending_confirmation
BI-TRU,12,12,1,11,10,2,12,0,missing_n,pdf_n_override_candidate_pending_confirmation
BI-UB,31,31,2,29,29,2,31,0,missing_n,pdf_n_override_candidate_pending_confirmation
EE-FC,34,34,2,32,33,1,34,0,missing_n,pdf_n_override_candidate_pending_confirmation
EE-PE,58,58,2,56,53,5,58,0,missing_n,pdf_n_override_candidate_pending_confirmation
EE-SE,7,7,1,6,6,1,7,0,missing_n,pdf_n_override_candidate_pending_confirmation
EE-SI,33,33,2,31,30,3,33,0,missing_n,pdf_n_override_candidate_pending_confirmation
EE-TRU,10,10,1,9,9,1,10,0,missing_n,pdf_n_override_candidate_pending_confirmation
EE-UB,30,30,2,28,28,2,30,0,missing_n,pdf_n_override_candidate_pending_confirmation
FC-PE,34,34,2,32,33,1,34,0,missing_n,pdf_n_override_candidate_pending_confirmation
FC-SE,6,6,1,5,6,0,6,0,missing_n,n_reconciled_ready
FC-SI,28,28,2,26,27,1,28,0,missing_n,pdf_n_override_candidate_pending_confirmation
FC-TRU,4,4,0,4,4,0,4,0,missing_n,n_reconciled_ready
FC-UB,22,22,2,20,21,1,22,0,missing_n,pdf_n_override_candidate_pending_confirmation
PE-SE,15,15,2,13,14,1,15,0,missing_n,pdf_n_override_candidate_pending_confirmation
PE-SI,35,35,2,33,32,3,35,0,missing_n,pdf_n_override_candidate_pending_confirmation
PE-TRU,12,12,1,11,11,1,12,0,missing_n,pdf_n_override_candidate_pending_confirmation
PE-UB,29,29,2,27,28,1,29,0,missing_n,pdf_n_override_candidate_pending_confirmation
SE-SI,6,6,1,5,6,0,6,0,missing_n,n_reconciled_ready
SE-TRU,1,1,0,1,1,0,1,0,missing_n,n_reconciled_ready
SE-UB,5,5,1,4,5,0,5,0,missing_n,n_reconciled_ready
SI-TRU,9,9,1,8,8,1,9,0,missing_n,pdf_n_override_candidate_pending_confirmation
SI-UB,22,22,2,20,21,1,22,0,missing_n,pdf_n_override_candidate_pending_confirmation
TRU-UB,8,8,1,7,7,1,8,0,missing_n,pdf_n_override_candidate_pending_confirmation
