study_id,rows,construct_pairs,complete_10_construct_matrix,pairs_missing_from_10_construct_target,rows_with_numeric_n,rows_missing_numeric_n,rows_with_reconciled_numeric_n,rows_missing_after_reconciliation,numeric_n_values_seen,reconciled_numeric_n_values_seen,preanalysis_action
S002,15,15,no,30,0,15,15,0,,300.0,n_ready_for_matrix_audit
S004,21,21,no,24,0,21,21,0,,485.0,n_ready_for_matrix_audit
S007,10,10,no,35,0,10,10,0,,363.0,n_ready_for_matrix_audit
S008,15,15,no,30,0,15,15,0,,289.0,n_ready_for_matrix_audit
S012,10,10,no,35,0,10,10,0,,1190.0,n_ready_for_matrix_audit
S013,15,15,no,30,0,15,15,0,,460.0,n_ready_for_matrix_audit
S016,21,21,no,24,0,21,21,0,,382.0,n_ready_for_matrix_audit
S017,6,6,no,39,0,6,6,0,,249.0,n_ready_for_matrix_audit
S020,6,6,no,39,0,6,6,0,,249.0,n_ready_for_matrix_audit
S022,3,3,no,42,0,3,3,0,,729.0,n_ready_for_matrix_audit
S025,21,21,no,24,0,21,21,0,,361.0,n_ready_for_matrix_audit
S026,15,15,no,30,0,15,15,0,,510.0,n_ready_for_matrix_audit
S027,10,10,no,35,0,10,10,0,,415.0,n_ready_for_matrix_audit
S028,10,10,no,35,0,10,0,10,,,residual_pdf_or_source_n_check_required
S031,6,6,no,39,0,6,6,0,,353.0,n_ready_for_matrix_audit
S032,15,15,no,30,0,15,15,0,,804.0,n_ready_for_matrix_audit
S034,3,3,no,42,0,3,3,0,,148.0,n_ready_for_matrix_audit
S045,10,10,no,35,0,10,10,0,,184.0,n_ready_for_matrix_audit
S047,10,10,no,35,0,10,10,0,,359.0,n_ready_for_matrix_audit
S050,15,15,no,30,0,15,15,0,,500.0,n_ready_for_matrix_audit
S052,10,10,no,35,0,10,10,0,,524.0,n_ready_for_matrix_audit
S055,21,21,no,24,0,21,21,0,,486.0,n_ready_for_matrix_audit
S065,11,11,no,34,0,11,11,0,,517.0,n_ready_for_matrix_audit
S072,16,16,no,29,0,16,16,0,,500.0,n_ready_for_matrix_audit
S077,6,6,no,39,0,6,6,0,,308.0,n_ready_for_matrix_audit
S078,6,6,no,39,0,6,6,0,,668.0,n_ready_for_matrix_audit
S083,6,6,no,39,0,6,6,0,,425.0,n_ready_for_matrix_audit
S085,3,3,no,42,0,3,3,0,,156.0,n_ready_for_matrix_audit
S090,3,3,no,42,0,3,3,0,,681.0,n_ready_for_matrix_audit
S094,1,1,no,44,0,1,1,0,,517.0,n_ready_for_matrix_audit
S096,2,2,no,43,0,2,2,0,,264.0,n_ready_for_matrix_audit
