analysis_record_id,study_id,construct_pair,sample_size_numeric_original,sample_size_numeric_reconciled,sample_size_reconciliation_status,sample_size_reconciliation_source,masem_n_weighted_eligibility,preanalysis_action
P1-PRIMARY-00001,S148,ATT-BI,,603.0,filled_from_full_corpus_reference_pair,S148_full_sample_ATT_BI,include_n_weighted_masem,include_n_weighted_subset_candidate
P1-PRIMARY-00002,S148,ATT-EE,,603.0,filled_from_full_corpus_reference_pair,S148_full_sample_ATT_EE,include_n_weighted_masem,include_n_weighted_subset_candidate
P1-PRIMARY-00003,S148,ATT-PE,,603.0,filled_from_full_corpus_reference_pair,S148_full_sample_ATT_PE,include_n_weighted_masem,include_n_weighted_subset_candidate
P1-PRIMARY-00004,S148,BI-UB,,603.0,filled_from_full_corpus_reference_pair,S148_full_sample_BI_UB,include_n_weighted_masem,include_n_weighted_subset_candidate
P1-PRIMARY-00005,S148,EE-PE,,603.0,filled_from_full_corpus_reference_pair,S148_full_sample_EE_PE,include_n_weighted_masem,include_n_weighted_subset_candidate
P1-PRIMARY-00006,S034,BI-EE,,148.0,filled_from_full_corpus_reference_pair,S034_full_sample_BI_EE,include_n_weighted_masem,include_n_weighted_subset_candidate
P1-PRIMARY-00007,S034,BI-PE,,148.0,filled_from_full_corpus_reference_pair,S034_full_sample_BI_PE,include_n_weighted_masem,include_n_weighted_subset_candidate
P1-PRIMARY-00008,S034,EE-PE,,148.0,filled_from_full_corpus_reference_pair,S034_full_sample_EE_PE,include_n_weighted_masem,include_n_weighted_subset_candidate
P1-PRIMARY-00009,S218,ATT-BI,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00010,S218,ATT-EE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00011,S218,ATT-PE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00012,S218,BI-EE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00013,S218,BI-PE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00014,S218,EE-PE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00015,S185,ANX-ATT,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00016,S185,ANX-EE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00017,S185,ANX-PE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00018,S185,ANX-SI,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00019,S185,ATT-BI,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00020,S185,ATT-EE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00021,S185,ATT-PE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00022,S185,ATT-SI,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00023,S185,BI-EE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00024,S185,BI-PE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00025,S185,BI-SI,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00026,S185,EE-PE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00027,S185,EE-SI,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00028,S185,PE-SI,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00029,S194,BI-EE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00030,S194,BI-FC,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00031,S194,BI-PE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00032,S194,BI-SI,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00033,S194,BI-UB,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00034,S194,EE-FC,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00035,S194,EE-PE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00036,S194,EE-SI,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00037,S194,EE-UB,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00038,S194,FC-PE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00039,S194,FC-SI,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00040,S194,FC-UB,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00041,S194,PE-SI,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00042,S194,PE-UB,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00043,S194,SI-UB,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00044,S208,BI-EE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00045,S208,BI-PE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00046,S208,BI-SI,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00047,S208,BI-TRU,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00048,S208,EE-PE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00049,S208,EE-SI,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00050,S208,EE-TRU,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00051,S208,PE-SI,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00052,S208,PE-TRU,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00053,S208,SI-TRU,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00054,S028,ATT-BI,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00055,S028,ATT-EE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00056,S028,ATT-PE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
P1-PRIMARY-00057,S028,ATT-SE,,,missing_n_excluded_from_n_weighted_masem,,exclude_missing_n,residual_source_n_check_before_primary
