study_id,target_task_count,denominator_families,manifest_status,expected_packet,packet_present_in_workspace,preanalysis_action
S002,15,primary_latent_or_construct_correlation_with_source_type_flag,packet_rendered_private,S002_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S003,10,primary_direct_r_or_source_reported_correlation,packet_rendered_private,S003_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S004,21,primary_latent_or_construct_correlation_with_source_type_flag,packet_rendered_private,S004_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S005,6,primary_latent_or_construct_correlation_with_source_type_flag,packet_rendered_private,S005_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S006,15,primary_direct_r_or_source_reported_correlation,packet_rendered_private,S006_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S007,10,secondary_beta_or_path_converted_effect_size,packet_rendered_private,S007_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S008,15,primary_direct_r_or_source_reported_correlation,packet_rendered_private,S008_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S009,9,secondary_beta_or_path_converted_effect_size,packet_rendered_private,S009_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S010,6,secondary_beta_or_path_converted_effect_size,packet_rendered_private,S010_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S011,3,secondary_beta_or_path_converted_effect_size,packet_rendered_private,S011_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S012,10,primary_direct_r_or_source_reported_correlation,packet_rendered_private,S012_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S013,15,primary_direct_r_or_source_reported_correlation,packet_rendered_private,S013_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S015,30,primary_latent_or_construct_correlation_with_source_type_flag,packet_rendered_private,S015_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S016,21,primary_direct_r_or_source_reported_correlation,packet_rendered_private,S016_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S017,6,primary_latent_or_construct_correlation_with_source_type_flag,packet_rendered_private,S017_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S018,10,primary_latent_or_construct_correlation_with_source_type_flag,packet_rendered_private,S018_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S019,3,primary_latent_or_construct_correlation_with_source_type_flag,packet_rendered_private,S019_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S020,10,primary_latent_or_construct_correlation_with_source_type_flag,packet_rendered_private,S020_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S021,12,secondary_beta_or_path_converted_effect_size,packet_rendered_private,S021_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S022,3,primary_direct_r_or_source_reported_correlation,packet_rendered_private,S022_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S024,9,secondary_beta_or_path_converted_effect_size,packet_rendered_private,S024_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S025,21,primary_latent_or_construct_correlation_with_source_type_flag,packet_rendered_private,S025_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S026,15,primary_latent_or_construct_correlation_with_source_type_flag,packet_rendered_private,S026_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S027,10,primary_latent_or_construct_correlation_with_source_type_flag,packet_rendered_private,S027_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S029,10,primary_direct_r_or_source_reported_correlation,packet_rendered_private,S029_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S030,21,primary_latent_or_construct_correlation_with_source_type_flag,packet_rendered_private,S030_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S031,6,primary_latent_or_construct_correlation_with_source_type_flag,packet_rendered_private,S031_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S032,15,primary_latent_or_construct_correlation_with_source_type_flag,packet_rendered_private,S032_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S033,6,secondary_beta_or_path_converted_effect_size,packet_rendered_private,S033_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S034,3,primary_latent_or_construct_correlation_with_source_type_flag,packet_rendered_private,S034_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S035,21,primary_direct_r_or_source_reported_correlation,packet_rendered_private,S035_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S036,21,primary_direct_r_or_source_reported_correlation,packet_rendered_private,S036_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S037,10,primary_direct_r_or_source_reported_correlation,packet_rendered_private,S037_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S038,6,secondary_beta_or_path_converted_effect_size,packet_rendered_private,S038_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S040,6,primary_direct_r_or_source_reported_correlation,packet_rendered_private,S040_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S042,6,secondary_beta_or_path_converted_effect_size,packet_rendered_private,S042_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S043,6,primary_latent_or_construct_correlation_with_source_type_flag,packet_rendered_private,S043_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S044,10,primary_latent_or_construct_correlation_with_source_type_flag,packet_rendered_private,S044_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
S045,10,primary_direct_r_or_source_reported_correlation,packet_rendered_private,S045_source_packet_20260609.txt,yes,ready_for_require_source_packet_run
