metric,value
rows_input,15
rows_in_exception_layer,15
rows_not_in_exception_layer,0
generic_full_accuracy_included,0
contract_aware_beta_path_included,2
contract_aware_scored,2
contract_aware_correct,2
status:not_scored_manual_source_reference_adjudication_required,1
status:not_scored_no_explicit_structural_path_evidence,4
status:not_scored_reference_contract_caveat,8
status:scored_contract_aware_converted_effect,2
policy:contract_aware_converted_effect_scoring_allowed_after_layer_consumed,2
policy:exclude_until_explicit_structural_path_evidence_or_reference_correction,4
policy:manual_source_reference_adjudication_required_no_in_place_freeze_change,1
policy:reference_contract_caveat_no_in_place_freeze_change,8
