scenario,pair,study_pair_rows
baseline_primary_human,BI-EE,48
baseline_primary_human,BI-FC,35
baseline_primary_human,BI-PE,52
baseline_primary_human,BI-SI,36
baseline_primary_human,BI-UB,29
baseline_primary_human,EE-FC,33
baseline_primary_human,EE-PE,53
baseline_primary_human,EE-SI,30
baseline_primary_human,EE-UB,28
baseline_primary_human,FC-PE,33
baseline_primary_human,FC-SI,27
baseline_primary_human,FC-UB,21
baseline_primary_human,PE-SI,32
baseline_primary_human,PE-UB,28
baseline_primary_human,SI-UB,21
expert_reviewed_llm_assisted_primary,BI-EE,48
expert_reviewed_llm_assisted_primary,BI-FC,35
expert_reviewed_llm_assisted_primary,BI-PE,52
expert_reviewed_llm_assisted_primary,BI-SI,36
expert_reviewed_llm_assisted_primary,BI-UB,29
expert_reviewed_llm_assisted_primary,EE-FC,33
expert_reviewed_llm_assisted_primary,EE-PE,53
expert_reviewed_llm_assisted_primary,EE-SI,30
expert_reviewed_llm_assisted_primary,EE-UB,28
expert_reviewed_llm_assisted_primary,FC-PE,33
expert_reviewed_llm_assisted_primary,FC-SI,27
expert_reviewed_llm_assisted_primary,FC-UB,21
expert_reviewed_llm_assisted_primary,PE-SI,32
expert_reviewed_llm_assisted_primary,PE-UB,28
expert_reviewed_llm_assisted_primary,SI-UB,21
